stock,Equal,GMV unrestricted,MeanVariance unrestricted,MeanVariance long-only,Hierarchical
STOCK_01,0.05,1.9718957844974154,0.8116338002072044,0.0,0.03476317302170022
STOCK_02,0.05,-1.8803745701032617,-1.5273802223860735,0.0,0.03464274351709899
STOCK_03,0.05,-0.005293538427491264,-0.40829631156909574,1.142693586730422e-17,0.0680938444396264
STOCK_04,0.05,0.0970963888921672,0.32750945423344724,0.0,0.06968266484429661
STOCK_05,0.05,0.1067937687975478,1.0690863973944296,0.2671324691782112,0.07200315425469717
STOCK_06,0.05,0.0760506383748114,0.8845508725582084,0.07877778857072716,0.02990285410971701
STOCK_07,0.05,-0.02077037483351877,-0.4663919731731131,7.575066838128121e-18,0.029675794887923965
STOCK_08,0.05,0.025583876792130714,-0.5485807175099382,0.0,0.015741308409364052
STOCK_09,0.05,0.051577688533447644,-0.05165310302025432,0.0,0.030878087867037513
STOCK_10,0.05,-0.061320179214655705,0.04824826429352068,6.968154432957583e-18,0.015173126322592368
STOCK_11,0.05,0.06392829557851788,0.6317112673336592,0.0,0.10425527753001451
STOCK_12,0.05,0.06900713679788315,-0.7787139885722907,1.4764296178971589e-18,0.10756964113364685
STOCK_13,0.05,0.04482393125957314,-0.6713350680072121,8.580905164529771e-18,0.11238689096897755
STOCK_14,0.05,0.19515510875330347,1.1783861000689184,0.06549995959040139,0.06674332233861378
STOCK_15,0.05,0.1586271605083753,-0.21316114194063643,7.995195179966254e-18,0.06456491363421098
STOCK_16,0.05,0.008891719941990658,0.23317550956327934,0.07364032398801763,0.03395304037947685
STOCK_17,0.05,0.004675288503206119,-0.2518229913836153,1.3227266504323154e-17,0.01861692144991535
STOCK_18,0.05,0.009101648222911228,0.3647410793020849,0.20114095714713096,0.03544467191070701
STOCK_19,0.05,0.07922701110383314,0.32143935046055216,0.2732873857645594,0.020961519783289986
STOCK_20,0.05,0.005323216021813213,0.046853422146924624,0.04052111576095211,0.03494704919709292
