stage,train_log_loss,validation_log_loss
1,0.2632335090880786,0.2818269676831896
2,0.25846378015200583,0.2789602161097949
3,0.25493162369589384,0.2766766544045972
4,0.25202005416611695,0.27477577856362123
5,0.24955177904922218,0.2731651314432294
6,0.246556771418395,0.27159183865037373
7,0.24460941598077213,0.27036504801955674
8,0.24290203537963484,0.26930779190124626
9,0.24065660920588097,0.2682672014372333
10,0.23923214931641876,0.26780921924486334
11,0.2379353322904249,0.2671927751505085
12,0.23616537200869914,0.2665036142331104
13,0.23471693173812255,0.2655018865262978
14,0.23373914604590407,0.26540154081776546
15,0.23257957484198594,0.26487376230827403
16,0.23131423107189567,0.26412157522474133
17,0.22999859913255122,0.26368630037121726
18,0.22905675428064845,0.26326880788442864
19,0.22797613216447407,0.2625820270479506
20,0.2273382261226403,0.2626945933456967
21,0.22621372567844644,0.26256742685961554
22,0.22499512621807607,0.2623612520798836
23,0.22400935930451502,0.26197995073607383
24,0.22352688571434262,0.2621754965891673
25,0.2226374570485109,0.26219057692376646
26,0.2216797701317168,0.26213222941674486
27,0.2209655154633676,0.26198971712586977
28,0.2202340129024082,0.2617036213357401
29,0.21987387478269668,0.2619651710915915
30,0.21919193648392746,0.2617906639118885
31,0.21861129983305838,0.2617541575441225
32,0.21808971739708602,0.2617589834225697
33,0.21780216980095826,0.2620517484371225
34,0.2172169608294981,0.2620087505849735
35,0.2167071600233378,0.2617320064076207
36,0.2164654408700227,0.262038908035784
37,0.21594648722596171,0.26193798561333786
38,0.21548756052749932,0.2619051938585218
39,0.2150587472254248,0.26170352976580735
40,0.21486919853388795,0.26202649980392245
41,0.21395123811806835,0.26200566976344447
42,0.21357933902891205,0.26185028849577024
43,0.21341387153933322,0.2621605005944657
44,0.21298815075990193,0.26227143019938043
45,0.21254845565671557,0.26226591072509187
46,0.2122909075068341,0.26227554752930116
47,0.21153636574869897,0.2622849872392866
48,0.21140368554678562,0.26257858713432525
49,0.21107469910455487,0.2625467068523758
50,0.21095826883677873,0.26283674743723995
51,0.21036200005706276,0.2629982590732849
52,0.20972520224290478,0.26303564232133847
53,0.20932473985895245,0.2629633770813292
54,0.2091192747645106,0.2630962405945489
55,0.2086255887827397,0.26328330679941314
56,0.20851561149194572,0.26353810165059416
57,0.20796953531345228,0.2636004243610084
58,0.20761689325515106,0.26356404394418226
59,0.2074664234600347,0.2639203081122829
60,0.20703095334685012,0.2641644647520912
61,0.20643734521069917,0.26423396959145573
62,0.20632431860302602,0.2643254987431867
63,0.20603213044446464,0.2644170807894664
64,0.20565269375444153,0.2644819924021624
65,0.20514922889699766,0.2645585276472618
66,0.20481763334105815,0.2648091078539206
67,0.2046782966585742,0.2651610576158589
68,0.20456375875336805,0.2653842173254081
69,0.20416924485991483,0.2653907972243085
70,0.20385026839705048,0.2653495660492339
71,0.20356209182957585,0.2655032472096243
72,0.20348760864038298,0.2655372342062641
73,0.203389966438788,0.2656247102222464
74,0.20308059880977192,0.26543566604454427
75,0.20264061797753632,0.26550613760671565
76,0.20251670329181296,0.2658531330342182
77,0.20209270044665126,0.26588760560733227
78,0.20167375800962517,0.2658267769886297
79,0.20160209953896494,0.26586168080348577
80,0.20120196183846853,0.2658962665676018
81,0.2011093409157044,0.26598814984766983
82,0.20054366792024164,0.2658125553754738
83,0.20019248500419548,0.26583926906101013
84,0.1996918884975599,0.265805426033531
85,0.1995959058554461,0.2660234492899837
86,0.19928517046979144,0.266054245898683
87,0.19919339289263466,0.2662700503205259
88,0.19887206609947142,0.26637316864377075
89,0.19877890824259897,0.2665845797926761
90,0.19844708408928963,0.26658753709723393
91,0.198087329534028,0.26662284526948576
92,0.19802143395187524,0.26664896636729496
93,0.19771574540813017,0.26667070887009303
94,0.1973318695179639,0.26672268401657767
95,0.1969349774282653,0.26698880042164846
96,0.19684976664401327,0.26719700645817496
97,0.19654541794576963,0.2672426584872217
98,0.19645699791145005,0.26745193383137034
99,0.1961783707272536,0.26749306979249526
100,0.1957730053909259,0.2674189296311515
101,0.19549690767880967,0.26746918048346907
102,0.1954331089113553,0.26749024130360416
103,0.1951795337255282,0.267873020226359
104,0.19509700373587913,0.2680799594218331
105,0.1948055673991394,0.2681956044346479
106,0.19472716093945305,0.26827612499843395
107,0.1944236348229013,0.2683211663062921
108,0.19416327734829555,0.2682470843717858
109,0.19396019232777942,0.2687864962749483
110,0.19353121832383763,0.2688749810504911
111,0.1931581817520941,0.2689124115374721
112,0.19307816952776885,0.2691154838533395
113,0.19299946951935293,0.26931251932829975
114,0.1927560094413604,0.26925402000271303
115,0.1924674938856838,0.26931796666605756
116,0.1921620083431347,0.2696337836353454
117,0.19193954281115785,0.2698245122757503
118,0.19179143048278918,0.2698085234788278
119,0.19142323081666737,0.2699072056599758
120,0.19110012897947284,0.26996680644375
