epoch,train_loss,valid_loss
1,1.1175144155820211,1.1857069432735443
2,0.9640021363894145,1.0187911689281464
3,0.8979140599568685,0.9745366275310516
4,0.8800628066062928,0.955944150686264
5,0.862205429871877,0.961866706609726
6,0.8520772933959961,0.9719583094120026
7,0.842486313978831,0.9051899015903473
8,0.8435415506362915,0.9911452233791351
9,0.8296804984410604,0.9289853572845459
10,0.8253574212392171,0.9485409259796143
11,0.8182529369990031,0.9853175282478333
12,0.817714269955953,0.9313659369945526
13,0.807853118578593,0.9702729284763336
14,0.8004075169563294,0.9816531538963318
15,0.788925047715505,1.0626789033412933
